Player,Data Split,FantPos,PredictedHealthGrade,HealthGrade
Sam Howell,Train,QB,97.0,100
Russell Wilson,Train,QB,80.0,82
Drew Lock,Train,QB,97.0,100
Patrick Mahomes II,Train,QB,94.0,94
Drake Maye,Train,QB,97.0,100
Matthew Stafford,Train,QB,81.0,76
Kirk Cousins,Train,QB,71.0,76
Jalen Hurts,Train,QB,94.0,94
Aaron Rodgers,Train,QB,70.0,71
Dak Prescott,Train,QB,75.0,71
Michael Penix Jr.,Test,QB,99.0,100
Cam Ward,Test,QB,98.0,100
Jayden Daniels,Test,QB,99.0,100
Brock Purdy,Test,QB,89.0,91
Aidan O'Connell,Test,QB,96.0,100
Daniel Jones,Test,QB,62.0,65
Bo Nix,Test,QB,99.0,100
Will Levis,Test,QB,98.0,100
