ID,Player,Tm,FantPos,2023Age,2023G,2023HealthStatus,2023HealthStatus2,2023SeriousInjury,2024Age,2024G,2024HealthStatus,2024HealthStatus2,2024SeriousInjury,AvgSeasonGames,HealthGrade,2025Age,2025G,ModelProj.2025Games,PlayMoreThan14(AvgSeason),PredictedPlayMoreThan14,AdjustedRisk,RiskTier,Scale
240,Nick Westbrook-Ikhine,,WR/TE,26,14,1,Minor Injuries,0,27,17,0,Healthy,0,16.0,94,28,17,17,1,1,2,Minor,
170,Jalen McMillan,,WR/TE,21,NaN,0,Healthy,0,22,13,0,Healthy,0,13.0,100,23,17,17,0,1,0,Low,
107,Jerome Ford,,RB,24,17,0,Healthy,0,25,14,1,Minor Injuries,0,15.0,88,26,17,17,1,1,2,Minor,
106,Austin Ekeler,,RB,28,14,1,Minor Injuries,0,29,12,2,Moderate Injuries,0,14.0,82,30,17,16,0,0,5,High,
120,Romeo Doubs,,WR/TE,23,17,0,Healthy,0,24,13,2,Moderate Injuries,0,14.0,82,25,17,17,0,1,3,Moderate,
38,Will Levis,,QB,24,9,0,Healthy/Backup,0,25,12,0,Healthy/Backup,0,11.0,100,26,10,17,0,0,2,Minor,
124,Kyle Pitts,,WR/TE,23,17,0,Healthy,0,24,17,0,Healthy,0,15.0,100,25,17,16,1,1,0,Low,
27,Travis Etienne Jr.,,RB,24,17,0,Healthy,0,34,15,1,Minor Injuries,0,16.0,94,35,17,15,1,1,3,Moderate,
250,Tre Tucker,,WR/TE,22,16,0,Healthy,0,23,17,0,Healthy,0,17.0,100,24,17,17,1,1,0,Low,
194,Marvin Mims Jr.,,WR/TE,21,16,0,Healthy,0,22,17,0,Healthy,0,16.5,97,23,17,17,1,1,0,Low,
269,Tank Bigsby,,RB,22,16,0,Healthy,0,23,17,0,Healthy,0,16.5,97,24,17,17,1,1,0,Low,
198,Justice Hill,,RB,26,16,0,Healthy,0,27,15,1,Minor Injuries,0,15.0,88,28,17,17,1,1,2,Minor,
249,Xavier Legette,,WR/TE,22,NaN,0,Healthy,0,23,16,0,Healthy,0,16.0,100,24,17,16,1,1,0,Low,
7,Dak Prescott,,QB,30,17,0,Healthy,0,31,8,3,Major Injuries,1,12.0,71,32,17,14,0,0,6,Significant,
95,Jaylen Warren,,RB,25,17,0,Healthy,0,26,15,1,Minor Injuries,0,16.0,94,27,17,15,1,1,2,Minor,
153,Michael Wilson,,WR/TE,23,13,2,Moderate Injuries,0,24,16,0,Healthy,0,15.0,88,25,17,15,1,1,3,Moderate,
184,Isaiah Likely,,WR/TE,23,17,0,Healthy,0,24,16,0,Healthy,0,16.0,94,25,17,17,1,1,0,Low,
174,Demarcus Robinson,,WR/TE,29,16,0,Healthy,0,30,17,0,Healthy,0,17.0,100,31,17,17,1,1,1,Low,
180,Juwan Johnson,,WR/TE,27,13,2,Moderate Injuries,0,28,17,0,Healthy,0,15.0,88,29,17,17,1,1,3,Moderate,
63,Amari Cooper,,WR/TE,29,15,1,Minor Injuries,0,30,14,1,Minor Injuries,0,15.0,88,31,15,17,1,1,5,High,
36,Stefon Diggs,,WR/TE,30,17,0,Healthy,0,31,8,3,Major Injuries,1,14.0,82,32,17,17,0,0,5,High,
152,Tyler Conklin,,WR/TE,28,17,0,Healthy,0,29,16,0,Healthy,0,17.0,100,30,17,17,1,1,0,Low,
252,Kayshon Boutte,,WR/TE,21,NaN,0,Healthy,0,22,15,1,Minor Injuries,0,15.0,88,23,17,16,1,1,2,Minor,
96,Tyler Lockett,,WR/TE,31,17,0,Healthy,0,32,17,0,Healthy,0,17.0,100,33,17,16,1,0,1,Low,
